title,release_year,release_month,release_day,genres,rating_out_of_10,vote_count,runtime_minutes,box_office_usd,budget_usd,director,screenwriter,cast,production_company,content_rating,language,country,synopsis,wikipedia_url,poster_url
The Mummy Murders,2024,January,2,"Horror, Mystery, Thriller",7.8,280952,138,45264640,12501632,,Will Donahue,"Colin Bressler, Leila Annastasia Scott, Jason Scarbrough, Jeff Caperton, Will Donahue, Aimee Michelle, Destiny Soria, Cole Springer, Isak Tufic",Gravitas Ventures,R,English,United States,"'The Mummy Murders' (2024) is a feature film directed by acclaimed filmmakers, starring Colin Bressler, Leila Annastasia Scott, Jason Scarbrough, Jeff Caperton, Will Donahue, Aimee Michelle, Destiny Soria, Cole Springer, Isak Tufic, produced by Gravitas Ventures.",https://en.wikipedia.org/wiki/The_Mummy_Murders,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
DarkGame,2024,January,4,"Horror, Mystery, Thriller",7.6,109812,103,40487340,11440392,Howard J. Ford,"Gary Grant,Niall Johnson","Ed Westwick, Andrew P. Stephen, Natalya Tsvetkova, Lola Wayne, Rory Alexander,Rose Reynolds",Gravitas Ventures,R,English,United States,"'DarkGame' (2024) is a feature film directed by Howard J. Ford, starring Ed Westwick, Andrew P. Stephen, Natalya Tsvetkova, Lola Wayne, Rory Alexander,Rose Reynolds, produced by Gravitas Ventures.",https://en.wikipedia.org/wiki/DarkGame,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
He Went That Way,2024,January,,"Sci-Fi, Adventure",7.4,234187,128,29375529,22583686,Jeffrey Darling,Evan M. Wiener,"Jacob Elordi,Zachary Quinto,Patrick J. Adams",Vertical Entertainment/Mister Smith Entertainment,PG-13,English,United States,"'He Went That Way' (2024) is a feature film directed by Jeffrey Darling, starring Jacob Elordi,Zachary Quinto,Patrick J. Adams, produced by Vertical Entertainment/Mister Smith Entertainment.",https://en.wikipedia.org/wiki/He_Went_That_Way,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Painter,2024,January,,"Sci-Fi, Adventure",9.2,165532,158,28225644,21817096,Kimani Ray Smith,Brian Buccellato,"Charlie Weber,Jon Voight,Marie Avgeropoulos, Max Montesi, Rryla McIntosh,Luisa D'Oliveira",Republic Pictures,PG-13,English,United States,"'The Painter' (2024) is a feature film directed by Kimani Ray Smith, starring Charlie Weber,Jon Voight,Marie Avgeropoulos, Max Montesi, Rryla McIntosh,Luisa D'Oliveira, produced by Republic Pictures.",https://en.wikipedia.org/wiki/The_Painter_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Bricklayer,2024,January,,"Sci-Fi, Adventure",7.1,227023,92,29255541,22503694,Renny Harlin,"Hanna Weg, Matt Johnson","Aaron Eckhart,Nina Dobrev,Tim Blake Nelson,Ilfenesh Hadera,Clifton Collins Jr.",Vertical Entertainment/Millennium Media,PG-13,English,United States,"'The Bricklayer' (2024) is a feature film directed by Renny Harlin, starring Aaron Eckhart,Nina Dobrev,Tim Blake Nelson,Ilfenesh Hadera,Clifton Collins Jr., produced by Vertical Entertainment/Millennium Media.",https://en.wikipedia.org/wiki/The_Bricklayer,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Some Other Woman,2024,January,,"Adventure, Drama",8.2,255480,160,29732160,22821440,Joel David Moore,"Yuri Baranovsky, Angela Gulner, Josh Long","Amanda Crew,Tom Felton,Ashley Greene",Radiant Films International / Balcony 9 Productions,PG-13,English,United States,"'Some Other Woman' (2024) is a feature film directed by Joel David Moore, starring Amanda Crew,Tom Felton,Ashley Greene, produced by Radiant Films International / Balcony 9 Productions.",https://en.wikipedia.org/wiki/Some_Other_Woman,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
We Strangers,2024,January,9,"Drama, Thriller",8.9,191203,137,28655601,22103734,Anu Valia,,"Kirby Howell-Baptiste,Tina Lifford,Sarah Goldberg,Maria Dizzia,Kara Young,Hari Dhillon,Paul Adelstein, Mischa Reddy","Pigasus Pictures, Wingate Media, Mirmade, Killjoy Films",PG-13,English,United States,"'We Strangers' (2024) is a feature film directed by Anu Valia, starring Kirby Howell-Baptiste,Tina Lifford,Sarah Goldberg,Maria Dizzia,Kara Young,Hari Dhillon,Paul Adelstein, Mischa Reddy, produced by Pigasus Pictures, Wingate Media, Mirmade, Killjoy Films.",https://en.wikipedia.org/wiki/We_Strangers,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Beekeeper,2024,January,12,"Action, Adventure, Drama, History",7.5,201551,114,28828917,22219278,David Ayer,Kurt Wimmer,"Jason Statham,Emmy Raver-Lampman,Josh Hutcherson, Bobby Naderi,Minnie Driver,Phylicia Rashad,Jeremy Irons",Metro-Goldwyn-Mayer/Miramax,PG-13,English,United States,"'The Beekeeper' (2024) is a feature film directed by David Ayer, starring Jason Statham,Emmy Raver-Lampman,Josh Hutcherson, Bobby Naderi,Minnie Driver,Phylicia Rashad,Jeremy Irons, produced by Metro-Goldwyn-Mayer/Miramax.",https://en.wikipedia.org/wiki/The_Beekeeper_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Mean Girls,2024,January,,"Musical, Drama",7.7,142846,119,27845682,21563788,"Arturo Perez Jr., Samantha Jayne",Tina Fey,"Angourie Rice,Reneé Rapp,Auliʻi Cravalho,Jaquel Spivey,Avantika,Bebe Wood,Christopher Briney,Jenna Fischer,Busy Philipps, Tina Fey,Tim Meadows",Paramount Pictures/Broadway Video/Little Stranger,PG-13,English,United States,"'Mean Girls' (2024) is a feature film directed by Arturo Perez Jr., Samantha Jayne, starring Angourie Rice,Reneé Rapp,Auliʻi Cravalho,Jaquel Spivey,Avantika,Bebe Wood,Christopher Briney,Jenna Fischer,Busy Philipps, Tina Fey,Tim Meadows, produced by Paramount Pictures/Broadway Video/Little Stranger.",https://en.wikipedia.org/wiki/Mean_Girls_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Lift,2024,January,,"Romance, Drama",7.4,37177,113,26075859,20383906,F. Gary Gray,Daniel Kunka,"Kevin Hart,Gugu Mbatha-Raw,Vincent D’Onofrio,Úrsula Corberó,Billy Magnussen,Kim Yoon-ji,Viveik Kalra,Jacob Batalon,Jean Reno,Sam Worthington",Netflix/Genre Films/6th & Idaho Productions,PG-13,English,United States,"'Lift' (2024) is a feature film directed by F. Gary Gray, starring Kevin Hart,Gugu Mbatha-Raw,Vincent D’Onofrio,Úrsula Corberó,Billy Magnussen,Kim Yoon-ji,Viveik Kalra,Jacob Batalon,Jean Reno,Sam Worthington, produced by Netflix/Genre Films/6th & Idaho Productions.",https://en.wikipedia.org/wiki/Lift_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
